[label]	uniprot	tissue_label
Atp-dependent 6-phosphofructokinase, liver type	P17858	skin
Atypical chemokine receptor 1	Q16570	merozoite
Atypical kinase adck3, mitochondrial	Q8NI60	testis
Aurora kinase a	O14965	testis
Aurora kinase b	Q96GD4	vegetative cell
Bdnf/nt-3 growth factors receptor	Q16620	neuron
Bdnf/nt-3 growth factors receptor	Q16620	adult
Bdnf/nt-3 growth factors receptor	Q16620	ganglion
Bdnf/nt-3 growth factors receptor	Q16620	peripheral nerve
Bdnf/nt-3 growth factors receptor	Q16620	spinal cord
Bdnf/nt-3 growth factors receptor	Q16620	mouth
Bestrophin-1	O76090	retina
Bestrophin-1	O76090	eye
Beta-1 adrenergic receptor	P08588	muscle
Beta-1 adrenergic receptor	P08588	heart
Beta-2 adrenergic receptor	P07550	muscle
Beta-3 adrenergic receptor	P13945	adipocyte
Bile acid receptor	Q96RI1	liver
Bone morphogenetic protein receptor type-2	Q13873	pulmonary artery
C-C chemokine receptor type 2	P41597	immune system
C-C chemokine receptor type 2	P41597	blood
C-C chemokine receptor type 3	P51677	immune system
C-C chemokine receptor type 5	P51681	syncytium
C-C chemokine receptor type 5	P51681	blood
C-C chemokine receptor type 5	P51681	immune system
C-C chemokine receptor type 6	P51684	myrosin cell
C-c chemokine receptor type 1	P32246	immune system
C-c chemokine receptor type 7	P32248	blood
C-c chemokine receptor type 7	P32248	spleen
C-c chemokine receptor type 7	P32248	lymph node
C-x-c chemokine receptor type 3	P49682	immune system
C-x-c chemokine receptor type 4	P61073	hematopoietic stem cell
C-x-c chemokine receptor type 4	P61073	blood
C-x-c chemokine receptor type 4	P61073	syncytium
C-x-c chemokine receptor type 4	P61073	immune system
C-x-c chemokine receptor type 4	P61073	mesenchymal stem cell
C-x-c chemokine receptor type 4	P61073	stromal cell
C-x-c chemokine receptor type 4	P61073	bone marrow
C-x-c chemokine receptor type 5	P32302	T-lymphocyte
C-x-c chemokine receptor type 5	P32302	B-lymphocyte
C-x-c chemokine receptor type 5	P32302	lymph node
CD97 antigen	P48960	brain
CGMP-gated cation channel alpha-1	P29973	lung
CX3C chemokine receptor 1	P49238	microglia
CX3C chemokine receptor 1	P49238	brain
Calcitonin receptor	P30988	osteoclast
Calcium-activated chloride channel regulator 1	A8K7I4	rectum
Calcium-activated chloride channel regulator 1	A8K7I4	vermiform appendix
Calcium-activated potassium channel subunit beta-4	Q86W47	brain
Calcium/calmodulin-dependent protein kinase type 1	Q14012	brain
Calcium/calmodulin-dependent protein kinase type 1d	Q8IU85	brain
Calcium/calmodulin-dependent protein kinase type ii subunit delta	Q13557	muscle
Cannabinoid receptor 1	P21554	neuron
Cannabinoid receptor 1	P21554	ganglion
Casein kinase II subunit alpha'	P19784	brain
Casein kinase i isoform alpha	P48729	kidney
Casein kinase i isoform alpha	P48729	liver
Casein kinase i isoform alpha	P48729	trachea
Casein kinase i isoform alpha	P48729	prostate gland
Casein kinase i isoform alpha	P48729	uterus
Casein kinase i isoform alpha	P48729	skin
Casein kinase i isoform alpha	P48729	thymus
Casein kinase i isoform delta	P48730	lung
Casein kinase i isoform delta	P48730	uterus
Casein kinase i isoform epsilon	P49674	skin
Casein kinase ii subunit beta	P67870	egg yolk
Cation channel sperm-associated protein 2	Q96P56	semen
Chloride channel protein 1	P35523	muscle
Chloride intracellular channel protein 1	O00299	blood
Chloride intracellular channel protein 1	O00299	prostate gland
Chloride intracellular channel protein 1	O00299	placenta
Chloride intracellular channel protein 1	O00299	stomach
Chloride intracellular channel protein 1	O00299	brain
Chloride intracellular channel protein 4	Q9Y696	vascular system
Chloride intracellular channel protein 4	Q9Y696	trachea
Cholecystokinin receptor type a	P32238	vagus nerve
Cholecystokinin receptor type a	P32238	pancreas
Choline/ethanolamine kinase	Q9Y259	unicellular trichome
Choline/ethanolamine kinase	Q9Y259	multicellular trichome
Corticotropin-releasing factor receptor 1	P34998	ganglion
Corticotropin-releasing factor receptor 1	P34998	adrenal gland
Coup transcription factor 2	P24468	testis
Creatine kinase B-type	P12277	heart
Creatine kinase B-type	P12277	stomach
Creatine kinase B-type	P12277	skeletal muscle
Creatine kinase B-type	P12277	corpus callosum
Creatine kinase B-type	P12277	occipital lobe
Creatine kinase B-type	P12277	frontal lobe
Creatine kinase B-type	P12277	temporal lobe
Creatine kinase B-type	P12277	spinal cord
Creatine kinase B-type	P12277	parietal lobe
Creatine kinase S-type, mitochondrial	P17540	muscle
Creatine kinase U-type, mitochondrial	P12532	intestine
Creatine kinase U-type, mitochondrial	P12532	placenta
Cyclic nucleotide-gated cation channel alpha-4	Q8IV77	olfactory receptor neuron
Cyclic nucleotide-gated cation channel beta-1	Q14028	storage root
Cyclic nucleotide-gated olfactory channel	Q16280	olfactory epithelium
Cyclin-dependent kinase 1	P06493	vegetative cell
Cyclin-dependent kinase 1	P06493	oocyte
Cyclin-dependent kinase 2	P24941	breast cancer cell line
Cyclin-dependent kinase 2	P24941	skin
Cyclin-dependent kinase 2	P24941	breast
Cyclin-dependent kinase 20	Q8IZL9	testis
Cyclin-dependent kinase 4	P11802	lung
Cyclin-dependent kinase 4	P11802	skin
Cyclin-dependent kinase-like 1	Q00532	MV3 cell
Cyclin-dependent-like kinase 5	Q00535	neuron
Cyclin-dependent-like kinase 5	Q00535	neurofibrillary tangle
Cyclin-g-associated kinase	O14976	brain
Cystic fibrosis transmembrane conductance regulator	P13569	oocyte
Cystic fibrosis transmembrane conductance regulator	P13569	meconium
Cystic fibrosis transmembrane conductance regulator	P13569	intestine
Cystic fibrosis transmembrane conductance regulator	P13569	vas deferens
Cystic fibrosis transmembrane conductance regulator	P13569	lung
Cystic fibrosis transmembrane conductance regulator	P13569	submucosal gland
Cytochrome b-245 heavy chain	P04839	heart
Cytochrome b-245 heavy chain	P04839	blood
Cytochrome b-245 heavy chain	P04839	artery
D(1a) dopamine receptor	P21728	ganglion
D(2) dopamine receptor	P14416	dopaminergic system
D(2) dopamine receptor	P14416	ganglion
D(2) dopamine receptor	P14416	neuron
D(3) dopamine receptor	P35462	dopaminergic system
D(4) dopamine receptor	P21917	prostate gland
D(4) dopamine receptor	P21917	dopaminergic system
D(4) dopamine receptor	P21917	ovary
Deoxycytidine kinase	P27707	brain
Discoidin domain-containing receptor 2	Q16832	brain
Dual specificity mitogen-activated protein kinase kinase 2	P36507	brain
Dual specificity mitogen-activated protein kinase kinase 2	P36507	lung
Dual specificity protein kinase clk1	P49759	testis
Dual specificity protein kinase clk1	P49759	placenta
Dual specificity protein kinase clk2	P49760	testis
Dual specificity protein kinase clk3	P49761	brain
Dual specificity protein kinase clk4	Q9HAZ1	brain
Endothelin b receptor	P24530	heart
Endothelin b receptor	P24530	neural crest
Endothelin b receptor	P24530	artery
Endothelin b receptor	P24530	autonomic nervous system
Endothelin b receptor	P24530	muscle
Ephrin type-a receptor 2	P29317	pulmonary artery
Ephrin type-a receptor 5	P54756	nymph
Ephrin type-a receptor 8	P29322	digitum minimus pedis
Ephrin-a1	P20827	placenta
Epidermal growth factor receptor	P00533	mammary gland cell line
Epidermal growth factor receptor	P00533	breast cancer cell line
Epidermal growth factor receptor	P00533	blood
Epidermal growth factor receptor	P00533	lymph node
Epidermal growth factor receptor	P00533	breast cancer cell
Epidermal growth factor receptor	P00533	skin
Epidermal growth factor receptor	P00533	intestine
Epidermal growth factor receptor	P00533	A-431 cell
Epidermal growth factor receptor	P00533	lung
Epidermal growth factor receptor	P00533	brain
Epidermal growth factor receptor	P00533	lung cancer cell
Epithelial discoidin domain-containing receptor 1	Q08345	trachea
Epithelial discoidin domain-containing receptor 1	Q08345	mouth
Epithelial discoidin domain-containing receptor 1	Q08345	pancreas
Estrogen receptor	P03372	ovary
Estrogen receptor	P03372	lymph node
Estrogen receptor	P03372	uterus
Estrogen receptor	P03372	Ishikawa cell
Estrogen receptor	P03372	brain
Estrogen receptor	P03372	mammary gland cell line
Estrogen receptor beta	Q92731	brain
Estrogen receptor beta	Q92731	breast
Estrogen receptor beta	Q92731	breast cancer cell
Estrogen receptor beta	Q92731	breast cancer cell line
Ethanolamine kinase 1	Q9HBU6	larynx
Ethanolamine kinase 1	Q9HBU6	intestine
Ethanolamine kinase 2	Q9NVF9	brain
Ethanolamine kinase 2	Q9NVF9	kidney
Eukaryotic translation initiation factor 2-alpha kinase 1	Q9BQI3	reticulocyte
Eukaryotic translation initiation factor 2-alpha kinase 1	Q9BQI3	intestine
Eukaryotic translation initiation factor 2-alpha kinase 1	Q9BQI3	lung
Extracellular calcium-sensing receptor	P41180	thyroid gland
FXYD domain-containing ion transport regulator 6	Q9H0Q3	testis
Fibroblast growth factor receptor 2	P21802	mesenchyme
Fibroblast growth factor receptor 2	P21802	cranium
Fibroblast growth factor receptor 3	P22607	uroepithelium
Focal adhesion kinase 1	Q05397	testis
Follicle-stimulating hormone receptor	P23945	Sertoli cell
Free fatty acid receptor 1	O14842	pancreatic beta cell
Free fatty acid receptor 2	O15552	enteroendocrine cell
Free fatty acid receptor 4	Q5NUL3	enteroendocrine cell
Fxyd domain-containing ion transport regulator 3	Q14802	brain
Fxyd domain-containing ion transport regulator 3	Q14802	prostate gland
Fxyd domain-containing ion transport regulator 3	Q14802	intestine
G protein-activated inward rectifier potassium channel 1	P48549	oocyte
G protein-activated inward rectifier potassium channel 4	P48544	oocyte
G-protein coupled bile acid receptor 1	Q8TDU6	bile
G-protein coupled receptor 161	Q8N6U8	culture condition:CD8+ cell
G-protein coupled receptor 35	Q9HC97	intestine
G-protein coupled receptor 56	Q9Y653	trachea
G-protein coupled receptor 56	Q9Y653	thyroid gland
G-protein coupled receptor 78	Q96P69	placenta
G-protein coupled receptor family C group 5 member B	Q9NZH0	corpus callosum
Gastrin-releasing peptide receptor	P30550	PC-3 cell
Glucocorticoid receptor	P04150	adrenal gland
Glucocorticoid receptor	P04150	brain
Glucocorticoid receptor	P04150	blood
Glucose-dependent insulinotropic receptor	Q8TDV5	enteroendocrine cell
Glutamate receptor 1	P42261	ganglion
Glutamate receptor 1	P42261	neuron
Glutamate receptor 2	P42262	neuron
Glutamate receptor 4	P48058	neuron
Glutamate receptor ionotropic, NMDA 2A	Q12879	neuron
Glutamate receptor ionotropic, delta-1	Q9ULK0	gut
Glutamate receptor ionotropic, delta-1	Q9ULK0	lung
Glutamate receptor ionotropic, delta-2	O43424	cerebellar Purkinje cell
Glutamate receptor ionotropic, kainate 1	P39086	neuron
Glutamate receptor ionotropic, nmda 1	Q05586	neuron
Glutamate receptor ionotropic, nmda 2b	Q13224	ganglion
Glutamate receptor ionotropic, nmda 2b	Q13224	neuron
Growth hormone secretagogue receptor type 1	Q92847	stomach
Growth hormone secretagogue receptor type 1	Q92847	brain
Gtp:amp phosphotransferase ak3, mitochondrial	Q9UIJ7	brain
Guanylate kinase	Q16774	uterus
Guanylate kinase	Q16774	eye
Guanylate kinase	Q16774	testis
Guanylate kinase	Q16774	skin
Guanylate kinase	Q16774	C-1300 cell
Guanylate kinase	Q16774	pancreas
H(+)/Cl(-) exchange transporter 7	P51798	osteoclast
H(+)/Cl(-) exchange transporter 7	P51798	testis
Heat-stable enterotoxin receptor	P25092	intestine
Hepatocyte nuclear factor 4-alpha	P41235	intestine
Hexokinase-1	P19367	lung
Hexokinase-1	P19367	skin
High affinity nerve growth factor receptor	P04629	adrenal gland
High affinity nerve growth factor receptor	P04629	peripheral nerve
High affinity nerve growth factor receptor	P04629	ganglion
High affinity nerve growth factor receptor	P04629	neuron
Histamine H1 receptor	P35367	mast cell
Histamine h2 receptor	P25021	gastric ulcer
Histamine h2 receptor	P25021	duodenum
Hydroxycarboxylic acid receptor 2	Q8TDS4	blood
Inhibitor of nuclear factor kappa-b kinase subunit beta	O14920	brain
Inositol 1,4,5-trisphosphate receptor type 3	Q14573	ovary
Inositol 1,4,5-trisphosphate receptor type 3	Q14573	intestine
Inositol hexakisphosphate kinase 2	Q9UHH9	testis
Inositol-tetrakisphosphate 1-kinase	Q13572	lung
Inositol-trisphosphate 3-kinase b	P27987	brain
Insulin-like growth factor 1 receptor	P08069	breast cancer cell
Insulin-like growth factor 1 receptor	P08069	breast cancer cell line
Insulin-like growth factor 1 receptor	P08069	breast
Interleukin-1 receptor-associated kinase 1	P51617	brain
Interleukin-1 receptor-associated kinase 1	P51617	skin
Interleukin-1 receptor-associated kinase 1	P51617	lung
Interleukin-1 receptor-associated kinase 1	P51617	intestine
Latrophilin-3	Q9HAR2	ChaGo-K-1 cell
Latrophilin-3	Q9HAR2	PCCL-3 cell
Leucine-rich repeat serine/threonine-protein kinase 2	Q5S007	ganglion
Leucine-rich repeat serine/threonine-protein kinase 2	Q5S007	neuron
Leucine-rich repeat-containing G-protein coupled receptor 5	O75473	intestine
Leucine-rich repeat-containing G-protein coupled receptor 5	O75473	cancer stem cell
Lim domain kinase 2	P53671	testis
Long-wave-sensitive opsin 1	P04000	pollen tube
Lutropin-choriogonadotropic hormone receptor	P22888	Leydig cell
Macrophage colony-stimulating factor 1 receptor	P07333	immune system
Macrophage colony-stimulating factor 1 receptor	P07333	blood
Map kinase-interacting serine/threonine-protein kinase 1	Q9BUB5	testis
Map kinase-interacting serine/threonine-protein kinase 1	Q9BUB5	brain
Map kinase-interacting serine/threonine-protein kinase 2	Q9HBH9	skeletal muscle
Map kinase-interacting serine/threonine-protein kinase 2	Q9HBH9	testis
Map/microtubule affinity-regulating kinase 3	P27448	lung
Mast/stem cell growth factor receptor kit	P10721	bone marrow
Mast/stem cell growth factor receptor kit	P10721	blood vessel
Mast/stem cell growth factor receptor kit	P10721	spindle cell
Mast/stem cell growth factor receptor kit	P10721	immune system
Mast/stem cell growth factor receptor kit	P10721	intestine
Mast/stem cell growth factor receptor kit	P10721	stomach
Mast/stem cell growth factor receptor kit	P10721	interstitial cell
Mast/stem cell growth factor receptor kit	P10721	adult
Mast/stem cell growth factor receptor kit	P10721	hematopoietic stem cell
Mast/stem cell growth factor receptor kit	P10721	mesenchyme
Mast/stem cell growth factor receptor kit	P10721	germ cell
Mast/stem cell growth factor receptor kit	P10721	gastrointestinal stromal tumor cell
Mast/stem cell growth factor receptor kit	P10721	mast cell
Mast/stem cell growth factor receptor kit	P10721	myenteric plexus
Mast/stem cell growth factor receptor kit	P10721	stromal cell
Mast/stem cell growth factor receptor kit	P10721	blood
Mast/stem cell growth factor receptor kit	P10721	heart
Mast/stem cell growth factor receptor kit	P10721	skin
Mast/stem cell growth factor receptor kit	P10721	muscle
Mast/stem cell growth factor receptor kit	P10721	submucosa
Megakaryocyte-associated tyrosine-protein kinase	P42679	hematopoietic stem cell
Melanocortin receptor 3	P41968	mucoepidermoid carcinoma cell
Melanopsin	Q9UHM6	retina
Metabotropic glutamate receptor 1	Q13255	ganglion
Metabotropic glutamate receptor 1	Q13255	brain
Metabotropic glutamate receptor 1	Q13255	neuron
Metabotropic glutamate receptor 5	P41594	ganglion
Metabotropic glutamate receptor 5	P41594	blood
Metabotropic glutamate receptor 5	P41594	neuron
Metabotropic glutamate receptor 6	O15303	peripheral nerve
Metabotropic glutamate receptor 6	O15303	retina
Mevalonate kinase	Q03426	brain
Microtubule-associated serine/threonine-protein kinase 4	O15021	flagellate
Mineralocorticoid receptor	P08235	adrenal gland
Mitogen-activated protein kinase 1	P28482	immune system
Mitogen-activated protein kinase 1	P28482	testis
Mitogen-activated protein kinase 1	P28482	mouth
Mitogen-activated protein kinase 12	P53778	brain
Mitogen-activated protein kinase 14	Q16539	brain
Mitogen-activated protein kinase 3	P27361	blood
Mitogen-activated protein kinase 3	P27361	neuron
Mitogen-activated protein kinase 3	P27361	muscle
Mitogen-activated protein kinase 3	P27361	artery
Mitogen-activated protein kinase 3	P27361	immune system
Mitogen-activated protein kinase 3	P27361	breast
Mitogen-activated protein kinase 3	P27361	blood vessel endothelium
Mitogen-activated protein kinase 3	P27361	heart
Mitogen-activated protein kinase 3	P27361	breast cancer cell line
Mitogen-activated protein kinase 8	P45983	neuron
Mitogen-activated protein kinase 8	P45983	ascites
Mitogen-activated protein kinase 8	P45983	lung
Mitogen-activated protein kinase 8	P45983	blood vessel
Mitogen-activated protein kinase 8	P45983	heart
Mitogen-activated protein kinase 8	P45983	muscle
Mitogen-activated protein kinase 8	P45983	immune system
Mitogen-activated protein kinase 8	P45983	spinal cord
Mitogen-activated protein kinase 8	P45983	blood
Mitogen-activated protein kinase 8	P45983	liver
Mitogen-activated protein kinase kinase kinase 11	Q16584	testis
Mitogen-activated protein kinase kinase kinase kinase 4	O95819	lung
Mitogen-activated protein kinase kinase kinase mlt	Q9NYL2	prostate gland
Mitotic checkpoint serine/threonine-protein kinase bub1 beta	O60566	testis
Muscarinic acetylcholine receptor m3	P20309	ureter
Muscle, skeletal receptor tyrosine-protein kinase	O15146	muscle
Muscle, skeletal receptor tyrosine-protein kinase	O15146	myotube
Myosin light chain kinase, smooth muscle	Q15746	gizzard
Myosin light chain kinase, smooth muscle	Q15746	muscle
Myosin light chain kinase, smooth muscle	Q15746	eye
Myosin light chain kinase, smooth muscle	Q15746	intestine
N-acetylgalactosamine kinase	Q01415	brain
N-formyl peptide receptor 2	P25090	neutrophil
Nadph oxidase 1	Q9Y5S8	intestine
Neuronal acetylcholine receptor subunit alpha-4	P43681	ganglion
Neuronal acetylcholine receptor subunit alpha-4	P43681	neuron
Neuronal acetylcholine receptor subunit alpha-4	P43681	oocyte
Neuronal acetylcholine receptor subunit alpha-4	P43681	electric organ
Neuronal acetylcholine receptor subunit alpha-4	P43681	muscle
Nf-kappa-b essential modulator	Q9Y6K9	SKOV-3 cell
Nicotinamide riboside kinase 2	Q9NPI5	urine
Nt-3 growth factor receptor	Q16288	testis
Nt-3 growth factor receptor	Q16288	peripheral nerve
Nt-3 growth factor receptor	Q16288	neuron
Nuclear receptor ror-alpha	P35398	skin
Nuclear receptor ror-alpha	P35398	brain
Nuclear receptor subfamily 0 group b member 1	P51843	adrenal gland
Nuclear receptor subfamily 0 group b member 2	Q15466	liver
Nuclear receptor subfamily 1 group i member 3	Q14994	Hepa-RG cell
Nuclear receptor subfamily 2 group c member 1	P13056	brain
Nuclear receptor subfamily 2 group c member 2	P49116	brain
Nuclear receptor subfamily 2 group e member 1	Q9Y466	neural stem cell
Nuclear receptor subfamily 4 group a member 1	P22736	prostate gland
Nuclear receptor subfamily 4 group a member 2	P43354	neuron
Nuclear receptor-binding protein	Q9UHY1	testis
Nuclear receptor-binding protein	Q9UHY1	pancreas
Nuclear receptor-binding protein	Q9UHY1	uterus
Nucleoside diphosphate kinase A	P15531	lymph node
Nucleoside diphosphate kinase, mitochondrial	O00746	prostate gland
Olfactory receptor 10a5	Q9H207	liver
Olfactory receptor 2H2	O95918	sporangiospore
Oxysterols receptor lxr-beta	P55055	testis
Oxytocin receptor	P30559	myometrium
P2X purinoceptor 7	Q99572	immune system
P2X purinoceptor 7	Q99572	spinal cord
P2Y purinoceptor 11	Q96G91	1321-N1 cell
P2Y purinoceptor 11	Q96G91	cob
P2x purinoceptor 2	Q9UBL9	nerve
P2x purinoceptor 3	P56373	neuron
P2x purinoceptor 3	P56373	ganglion
P2x purinoceptor 3	P56373	peripheral nerve
P2x purinoceptor 3	P56373	trigeminal nerve
P2y purinoceptor 12	Q9H244	blood clot
Pantothenate kinase 3	Q9H999	brain
Peroxisome proliferator-activated receptor alpha	Q07869	blood
Peroxisome proliferator-activated receptor alpha	Q07869	muscle
Peroxisome proliferator-activated receptor alpha	Q07869	heart
Peroxisome proliferator-activated receptor alpha	Q07869	adipocyte
Peroxisome proliferator-activated receptor gamma	P37231	epididymis
Peroxisome proliferator-activated receptor gamma	P37231	muscle
Peroxisome proliferator-activated receptor gamma	P37231	liver
Peroxisome proliferator-activated receptor gamma	P37231	preadipocyte cell line
Peroxisome proliferator-activated receptor gamma	P37231	mesenchymal stem cell
Peroxisome proliferator-activated receptor gamma	P37231	blood
Peroxisome proliferator-activated receptor gamma	P37231	immune system
Peroxisome proliferator-activated receptor gamma	P37231	abdominal adipose tissue
Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform	P42336	colorectum
Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform	P42336	breast
Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform	P42336	brain
Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform	P42338	brain
Phosphatidylinositol 4-kinase beta	Q9UBF8	testis
Phosphatidylinositol 4-phosphate 3-kinase c2 domain-containing subunit alpha	O00443	blood
Phosphatidylinositol 4-phosphate 3-kinase c2 domain-containing subunit alpha	O00443	muscle
Phosphatidylinositol 4-phosphate 3-kinase c2 domain-containing subunit alpha	O00443	artery
Phosphatidylinositol 4-phosphate 3-kinase c2 domain-containing subunit alpha	O00443	heart
Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha	Q99755	testis
Phosphoenolpyruvate carboxykinase [gtp], mitochondrial	Q16822	ascites
Phosphoenolpyruvate carboxykinase [gtp], mitochondrial	Q16822	kidney
Phosphoglycerate kinase 1	P00558	muscle
Phosphoglycerate kinase 1	P00558	esophagus
Phosphoglycerate kinase 1	P00558	ascites
Phosphoglycerate kinase 1	P00558	prostate gland
Phosphoglycerate kinase 1	P00558	stomach
Phosphoglycerate kinase 1	P00558	thymus
Phosphoglycerate kinase 2	P07205	spermatid
Phosphoglycerate kinase 2	P07205	semen
Phospholemman	O00168	liver
Phospholemman	O00168	skeletal muscle
Plasmolipin	Q9Y342	brain
Platelet-derived growth factor receptor alpha	P16234	gastrointestinal stromal tumor cell
Platelet-derived growth factor receptor alpha	P16234	mesenchyme
Platelet-derived growth factor receptor alpha	P16234	spindle cell
Polycystin-2	Q13563	cyst
Polycystin-2	Q13563	kidney
Potassium channel subfamily K member 3	O14649	carotid body
Potassium voltage-gated channel subfamily A member 1	Q09470	oocyte
Potassium voltage-gated channel subfamily E member 1	P15382	oocyte
Potassium voltage-gated channel subfamily G member 1	Q9UIX4	KH2 cell
Potassium voltage-gated channel subfamily H member 1	O95259	pheromone gland
Potassium voltage-gated channel subfamily H member 2	Q12809	oocyte
Potassium voltage-gated channel subfamily H member 2	Q12809	muscle
Potassium voltage-gated channel subfamily KQT member 4	P56696	outer hair cell
Potassium voltage-gated channel subfamily a member 5	P22460	muscle
Potassium voltage-gated channel subfamily c member 1	P48547	neuron
Potassium voltage-gated channel subfamily e member 2	Q9Y6J6	stomach
Probable G-protein coupled receptor 148	Q8TDV2	midgut epithelium
Probable G-protein coupled receptor 179	Q6PRD1	bipolar cell
Probable g-protein coupled receptor 146	Q96CH1	brain
Probable g-protein coupled receptor 152	Q8TDT2	bundle sheath
Progesterone receptor	P06401	needle
Progesterone receptor	P06401	oviduct
Progesterone receptor	P06401	ovary
Progesterone receptor	P06401	stromal cell
Progesterone receptor	P06401	glandular epithelium
Progesterone receptor	P06401	breast cancer cell line
Progesterone receptor	P06401	lymph node
Prokineticin receptor 1	Q8TCW9	pancreas
Prostacyclin receptor	P43119	parietal lobe
Prostacyclin receptor	P43119	cerebellum
Prostacyclin receptor	P43119	temporal lobe
Prostacyclin receptor	P43119	occipital lobe
Prostacyclin receptor	P43119	artery
Prostacyclin receptor	P43119	frontal lobe
Prostaglandin E2 receptor EP4 subtype	P35408	ovary
Protein gpr107	Q5VW38	prostate gland
Protein kinase c alpha type	P17252	testis
Protein kinase c alpha type	P17252	pancreas
Protein kinase c alpha type	P17252	lung
Protein kinase c epsilon type	Q02156	brain
Protein kinase c zeta type	Q05513	testis
Protein tweety homolog 2	Q9BSA4	testis
Proteinase-activated receptor 1	P25116	blood platelet
Proteinase-activated receptor 1	P25116	brain
Proteinase-activated receptor 2	P55085	mast cell
Proto-oncogene tyrosine-protein kinase receptor ret	P07949	neural crest
Proto-oncogene tyrosine-protein kinase receptor ret	P07949	medullary carcinoma cell
Proto-oncogene tyrosine-protein kinase receptor ret	P07949	thyroid cancer cell
Proto-oncogene tyrosine-protein kinase receptor ret	P07949	thyroid nodule
Proto-oncogene tyrosine-protein kinase receptor ret	P07949	autonomic nervous system
Proto-oncogene tyrosine-protein kinase ros	P08922	lung
Proto-oncogene tyrosine-protein kinase src	P12931	heart
Proto-oncogene tyrosine-protein kinase src	P12931	blood vessel
