[label]	uniprot	disease_label
Phosphatidylinositol 4-phosphate 3-kinase c2 domain-containing subunit alpha	O00443	neuroleptic malignant syndrome
Phosphatidylinositol 4-phosphate 3-kinase c2 domain-containing subunit alpha	O00443	myocardial infarction
Phosphatidylinositol 4-phosphate 5-kinase type-1 beta	O14986	Friedreich ataxia
Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma	O60331	lethal congenital contracture syndrome
Phospholemman	O00168	periodic limb movement disorder
Phospholemman	O00168	restless legs syndrome
Piezo-type mechanosensitive ion channel component 2	Q9H5I5	distal arthrogryposis
Pituitary adenylate cyclase-activating polypeptide type I receptor	P41586	post-traumatic stress disorder
Platelet-derived growth factor receptor alpha	P16234	hypereosinophilic syndrome
Platelet-derived growth factor receptor beta	P09619	hypereosinophilic syndrome
Polycystic kidney disease 2-like 1 protein	Q9P0L9	visceral leishmaniasis
Polycystic kidney disease 2-like 1 protein	Q9P0L9	autosomal dominant polycystic kidney disease
Polycystic kidney disease and receptor for egg jelly-related protein	Q9NTG1	autosomal dominant polycystic kidney disease
Polycystin-2	Q13563	polycystic liver disease
Potassium channel subfamily K member 18	Q7Z418	migraine
Potassium channel subfamily K member 9	Q9NPC2	Birk-Barel syndrome
Potassium channel subfamily t member 1	Q5JUK3	form agnosia
Potassium voltage-gated channel subfamily D member 3	Q9UK17	spinocerebellar ataxia type 19/22
Potassium voltage-gated channel subfamily G member 1	Q9UIX4	fragile X syndrome
Potassium voltage-gated channel subfamily H member 1	O95259	hepatitis B
Potassium voltage-gated channel subfamily H member 2	Q12809	heart disease
Potassium voltage-gated channel subfamily KQT member 4	P56696	sensorineural hearing loss
Potassium voltage-gated channel subfamily V member 2	Q8TDN2	cone dystrophy
Potassium voltage-gated channel subfamily V member 2	Q8TDN2	bradyopsia
Potassium voltage-gated channel subfamily a member 5	P22460	atrial fibrillation
Potassium voltage-gated channel subfamily e member 3	Q9Y6H6	hypokalemic periodic paralysis
Potassium voltage-gated channel subfamily kqt member 1	P51787	Beckwith-Wiedemann syndrome
Potassium voltage-gated channel subfamily kqt member 1	P51787	heart disease
Probable G-protein coupled receptor 179	Q6PRD1	night blindness
Probable g-protein coupled receptor 157	Q5UAW9	Schnyder corneal dystrophy
Progesterone receptor	P06401	endometrial cancer
Progesterone receptor	P06401	ductal carcinoma in situ
Progesterone receptor	P06401	leiomyoma
Progesterone receptor	P06401	carcinoma
Progesterone receptor	P06401	endometriosis
Prokineticin receptor 2	Q8NFJ6	hypogonadism
Prostaglandin d2 receptor 2	Q9Y5Y4	asthma
Protein kinase c gamma type	P05129	cerebellar ataxia
Proto-oncogene tyrosine-protein kinase receptor ret	P07949	hyperparathyroidism
Proto-oncogene tyrosine-protein kinase receptor ret	P07949	phaeochromocytoma
Proto-oncogene tyrosine-protein kinase ros	P08922	lung cancer
Proto-oncogene tyrosine-protein kinase ros	P08922	adenocarcinoma
Putative nucleoside diphosphate kinase	O60361	interstitial cystitis
Putative serine/threonine-protein kinase prky	O43930	asbestos-related lung carcinoma
Pyruvate kinase pkm	P14618	bilirubin metabolic disorder
Pyruvate kinase pkm	P14618	neonatal jaundice
Pyruvate kinase pkm	P14618	cancer
RPE-retinal G protein-coupled receptor	P47804	human granulocytic anaplasmosis
Rac-alpha serine/threonine-protein kinase	P31749	diabetes mellitus
Rac-alpha serine/threonine-protein kinase	P31749	obesity
Rac-alpha serine/threonine-protein kinase	P31749	vascular disease
Rac-alpha serine/threonine-protein kinase	P31749	hyperglycemia
Rac-gamma serine/threonine-protein kinase	Q9Y243	Klippel-Trenaunay syndrome
Rac-gamma serine/threonine-protein kinase	Q9Y243	epilepsy
Rac-gamma serine/threonine-protein kinase	Q9Y243	Proteus syndrome
Rac-gamma serine/threonine-protein kinase	Q9Y243	incontinentia pigmenti achromians
Rac-gamma serine/threonine-protein kinase	Q9Y243	tuberous sclerosis
Rac-gamma serine/threonine-protein kinase	Q9Y243	lissencephaly
Raf proto-oncogene serine/threonine-protein kinase	P04049	yellow fever
Raf proto-oncogene serine/threonine-protein kinase	P04049	hepatitis
Receptor tyrosine-protein kinase erbb-2	P04626	ductal carcinoma in situ
Receptor tyrosine-protein kinase erbb-2	P04626	neutropenia
Receptor tyrosine-protein kinase erbb-3	P21860	cancer
Receptor tyrosine-protein kinase erbb-4	Q15303	schizophrenia
Receptor tyrosine-protein kinase erbb-4	Q15303	cancer
Receptor-interacting serine/threonine-protein kinase 4	P57078	popliteal pterygium syndrome
Relaxin receptor 2	Q8WXD0	cryptorchidism
Retinal guanylyl cyclase 1	Q02846	fundus dystrophy
Retinal guanylyl cyclase 1	Q02846	cone dystrophy
Retinal guanylyl cyclase 1	Q02846	retinal degeneration
Rhodopsin	P08100	blindness
Rhodopsin	P08100	fundus dystrophy
Rhodopsin	P08100	night blindness
Rhodopsin kinase	Q15835	night blindness
Ribose-phosphate pyrophosphokinase 3	P21108	Arts syndrome
Ribosomal protein s6 kinase beta-1	P23443	cancer
Ribosomal protein s6 kinase beta-2	Q9UBS0	Kleine-Levin syndrome
Ryanodine receptor 1	P21817	myopathy
Ryanodine receptor 2	Q92736	heart disease
Ryanodine receptor 2	Q92736	malignant hyperthermia
Serine-protein kinase atm	Q13315	cancer
Serine-protein kinase atm	Q13315	Nijmegen breakage syndrome
Serine/threonine-protein kinase 24	Q9Y6E0	pseudohypoaldosteronism
Serine/threonine-protein kinase atr	Q13535	Seckel syndrome
Serine/threonine-protein kinase b-raf	P15056	kidney cancer
Serine/threonine-protein kinase b-raf	P15056	skin cancer
Serine/threonine-protein kinase b-raf	P15056	melanoma
Serine/threonine-protein kinase b-raf	P15056	carcinoma
Serine/threonine-protein kinase b-raf	P15056	thyroid cancer
Serine/threonine-protein kinase chk1	O14757	cancer
Serine/threonine-protein kinase d3	O94806	autosomal dominant polycystic kidney disease
Serine/threonine-protein kinase mtor	P42345	subependymal giant cell astrocytoma
Serine/threonine-protein kinase mtor	P42345	cancer
Serine/threonine-protein kinase mtor	P42345	lymphangioleiomyomatosis
Serine/threonine-protein kinase mtor	P42345	stomatitis
Serine/threonine-protein kinase nek8	Q86SG6	cystic kidney disease
Serine/threonine-protein kinase nek9	Q8TD19	nephronophthisis
Serine/threonine-protein kinase plk1	P53350	cancer
Serine/threonine-protein kinase receptor r3	P37023	hypertension
Serine/threonine-protein kinase receptor r3	P37023	telangiectasis
Serine/threonine-protein kinase stk11	Q15831	cancer
Serine/threonine-protein kinase wnk1	Q9H4A3	hypertension
Serine/threonine-protein kinase wnk4	Q96J92	hypertension
Sodium channel protein type 1 subunit alpha	P35498	migraine
Sodium channel protein type 10 subunit alpha	Q9Y5Y9	cancer
Sodium channel protein type 2 subunit alpha	Q99250	thalassemia
Sodium channel protein type 2 subunit alpha	Q99250	scrapie
Sodium channel protein type 4 subunit alpha	P35499	myotonia congenita
Sodium channel protein type 5 subunit alpha	Q14524	heart disease
Sodium channel protein type 5 subunit alpha	Q14524	sudden infant death syndrome
Sodium channel protein type 9 subunit alpha	Q15858	pain disorder
Sodium channel protein type 9 subunit alpha	Q15858	neuropathy
Sodium channel protein type 9 subunit alpha	Q15858	peripheral vascular disease
Solute carrier family 26 member 6	Q9BXS9	nephrolithiasis
Somatostatin receptor type 5	P35346	adenoma
Sphingosine 1-phosphate receptor 1	P21453	multiple sclerosis
Ste20-related kinase adapter protein alpha	Q7RTN6	polyhydramnios
Ste20/sps1-related proline-alanine-rich protein kinase	Q9UEW8	hypertension
Steroidogenic factor 1	Q13285	Klinefelter's syndrome
Steroidogenic factor 1	Q13285	hypospadias
Steroidogenic factor 1	Q13285	hypogonadism
Sulfate anion transporter 1	Q9H2B4	nephrolithiasis
Taste receptor type 2 member 38	P59533	common cold
Testis-specific serine/threonine-protein kinase 1	Q9BXA7	systemic scleroderma
Testis-specific serine/threonine-protein kinase 4	Q6SA08	oligospermia
Testis-specific serine/threonine-protein kinase 6	Q9BXA6	oligospermia
Tgf-beta receptor type-2	P37173	cancer
Thymidine kinase 2, mitochondrial	O00142	spinocerebellar ataxia type 31
Thyroid hormone receptor alpha	P10827	hypothyroidism
Thyroid hormone receptor beta	P10828	hypothyroidism
Thyroid hormone receptor beta	P10828	thyrotoxicosis
Thyroid hormone receptor beta	P10828	goiter
Thyroid hormone receptor beta	P10828	hyperthyroidism
Thyrotropin receptor	P16473	autoimmune thyroiditis
Thyrotropin receptor	P16473	thyroid cancer
Thyrotropin receptor	P16473	thyrotoxicosis
Thyrotropin receptor	P16473	hypothyroidism
Thyrotropin receptor	P16473	goiter
Titin	Q8WZ42	thymoma
Titin	Q8WZ42	myopathy
Titin	Q8WZ42	myasthenia gravis
Transient receptor potential cation channel subfamily V member 1	Q8NER1	pain agnosia
Transient receptor potential cation channel subfamily V member 5	Q9NQA5	hypervitaminosis D
Transient receptor potential cation channel subfamily m member 1	Q7Z4N2	night blindness
Two pore calcium channel protein 1	Q9ULQ1	thyroid cancer
Type-1 angiotensin II receptor	P30556	coronary artery disease
Type-1 angiotensin II receptor	P30556	hypertension
Type-1 angiotensin II receptor	P30556	kidney disease
Type-2 angiotensin II receptor	P50052	hypertension
Tyrosine-protein kinase abl1	P00519	polycythemia vera
Tyrosine-protein kinase jak1	P23458	cancer
